53484,-5.18,0.00,9.26
57504,-5.18,0.00,9.26
61540,-4.90,0.08,9.38
65556,-4.90,0.08,9.38
84532,-4.98,0.00,10.00
109492,-4.67,0.00,10.04
135500,-4.51,-0.04,9.41
161500,-4.04,-0.04,8.87
187492,-3.61,0.00,8.90
212448,-3.22,0.00,8.79
237420,-3.30,-0.08,8.32
263408,-3.33,0.00,8.94
288368,-3.18,0.00,9.06
313340,-2.71,0.12,8.32
338288,-2.79,0.00,8.47
363260,-2.82,-0.43,8.08
389260,-2.63,-0.71,7.77
415268,-2.59,-0.71,6.47
441256,-3.37,0.08,8.98
466224,-3.73,0.63,10.63
492224,-5.37,1.88,13.14
518224,-6.71,2.75,15.97
544220,-8.87,3.49,20.16
570224,-9.06,3.14,14.32
596220,-5.30,1.69,8.43
621180,2.04,-1.96,1.73
646140,2.04,-4.55,-1.84
672140,0.90,-4.35,-0.24
698140,-0.39,-3.22,3.57
724136,-2.59,-1.96,9.96
750144,-5.45,-2.08,10.87
777188,-5.65,-1.69,10.16
804220,-4.55,-1.14,9.57
830220,-1.88,-1.06,7.30
856220,-1.02,-1.22,5.81
882224,-1.73,-1.29,6.12
908220,0.12,-0.24,8.08
933188,-3.10,0.67,10.04
959180,-5.06,0.86,10.51
985188,-5.77,1.22,12.00
1011180,-5.92,1.18,11.73
1038220,-5.65,0.90,10.67
1065260,-5.10,1.14,10.51
1092296,-3.96,0.94,9.38
1118300,-3.57,0.78,8.83
1144296,-2.98,0.82,8.43
1170304,-3.06,0.75,8.51
1196300,-3.57,0.71,8.24
1222312,-3.45,0.94,8.90
1248300,-3.06,0.82,8.63
1274300,-3.49,0.63,8.67
1300296,-4.12,0.78,9.85
1326308,-5.45,1.29,10.40
1353344,-7.18,2.71,16.08
1380384,-9.53,2.55,20.63
1407424,-9.30,3.22,12.59
1434456,-2.08,1.45,4.16
1460460,7.10,-2.82,-3.22
1487504,3.69,-3.88,-1.02
1514540,-2.98,-3.61,3.10
1541584,-4.16,-2.04,10.24
1569668,-3.80,-2.00,13.30
1597740,-4.71,-2.51,10.16
1625820,-4.00,-1.92,7.77
1652864,-2.63,-1.80,8.00
1679908,-1.96,-1.96,6.86
1706940,-1.26,-1.92,5.88
1733980,-0.55,-1.84,7.49
1761020,-0.71,-1.33,6.86
1788060,-2.47,-0.55,6.98
1815108,-2.24,0.78,10.67
1842148,-4.16,1.29,12.63
1869184,-5.84,0.75,12.00
1896224,-6.47,0.43,11.22
1923268,-5.22,0.67,10.71
1950296,-4.75,0.78,10.32
1977344,-3.96,0.82,10.04
2004384,-3.14,0.75,9.34
2030376,-3.14,0.39,8.51
2056384,-3.06,0.39,8.51
2082376,-2.86,0.35,8.39
2108380,-2.98,0.20,8.59
2134380,-3.45,0.04,8.90
2160376,-3.53,0.08,8.39
2186376,-3.49,0.59,9.22
2212388,-3.65,0.63,9.57
2238380,-3.73,0.67,9.96
2264388,-4.35,0.78,10.04
2291424,-6.04,1.33,13.02
2318468,-8.75,1.33,19.73
2345512,-14.40,0.51,16.95
2373580,-9.38,0.16,8.90
2399580,4.08,1.61,5.26
2424540,13.85,0.35,-3.02
2451584,6.04,-2.28,-2.20
2478628,-2.94,-3.14,5.45
2505660,-3.45,-3.10,9.85
2532704,-2.59,-2.67,12.75
2560784,-2.59,-1.69,11.92
2588864,-1.45,-1.14,9.34
2615900,0.78,-1.14,5.26
2641904,1.53,-1.06,4.82
2667900,0.98,-0.47,6.63
2693904,-1.41,-0.12,9.61
2720936,-3.61,-0.39,9.89
2747980,-4.24,0.04,11.61
2775024,-4.12,0.71,11.53
2802060,-4.63,0.63,12.40
2829100,-5.49,0.43,12.08
2856152,-4.24,0.08,10.00
2883168,-3.22,0.00,8.98
2909180,-3.37,-0.47,9.26
2936224,-3.69,-0.90,8.67
2963256,-2.90,-0.82,8.20
2990308,-2.94,-0.71,8.16
3017340,-3.18,-0.31,8.36
3044380,-3.61,-0.08,9.02
3071412,-3.10,0.00,9.14
3097416,-3.57,0.04,9.26
3123416,-3.53,0.00,9.30
3149420,-3.37,0.08,9.14
3175420,-3.18,0.12,9.02
3201420,-3.26,0.16,9.34
3227420,-3.10,0.12,9.10
3253416,-3.10,0.35,9.02
3279420,-2.90,0.86,9.45
3305424,-3.45,1.29,12.94
3332464,-7.49,2.12,17.81
3359508,-11.14,0.94,16.75
3387588,-10.00,0.86,13.42
3415660,2.08,0.35,4.47
3440624,6.79,-2.75,-3.57
3467660,0.24,-5.02,-1.73
3494700,-2.55,-4.79,5.84
3521752,-2.31,-2.51,11.92
3549824,-3.61,-1.92,12.87
3577900,-3.37,-1.57,11.06
3605980,-1.53,-1.22,9.45
3633024,-1.18,-2.00,7.96
3660060,-1.88,-2.51,7.26
3687100,-2.20,-3.02,7.34
3714140,-2.24,-3.14,6.16
3741176,-1.14,-2.31,5.22
3768216,0.24,-1.02,5.14
3794220,-1.06,-0.39,6.79
3821264,-4.63,0.82,12.12
3848308,-5.37,1.29,13.93
3875340,-5.10,1.29,12.63
3902380,-4.90,1.26,12.36
3929420,-4.51,1.33,10.87
3956460,-4.31,1.22,10.40
3983496,-3.73,0.82,9.89
4009508,-3.26,0.78,9.14
4035500,-2.59,0.59,8.59
4061504,-2.16,0.47,8.75
4087500,-2.75,0.35,8.28
4113508,-2.98,0.20,8.28
4139500,-2.94,0.24,9.45
4165504,-3.37,0.16,9.41
4191500,-3.45,0.08,8.98
4217508,-3.02,0.35,9.18
4243504,-4.51,0.78,12.12
4270540,-6.28,1.53,17.30
4297588,-9.85,2.20,22.71
4324620,-8.79,1.73,10.59
4351664,-1.69,0.08,5.45
4377664,6.59,-2.47,-2.51
4404700,5.33,-3.45,-3.73
4431748,1.14,-4.20,1.96
4457740,-2.59,-4.20,9.41
4484788,-5.41,-4.47,12.36
4512868,-4.67,-3.61,12.47
4540940,-2.04,-2.20,10.32
4569020,-1.26,-2.08,7.88
4596060,-0.59,-2.28,7.92
4623100,-0.98,-2.82,7.81
4650140,-1.33,-2.94,7.73
4677184,-0.78,-2.63,7.45
4704224,-0.12,-2.35,6.86
4731260,-0.24,-2.35,6.08
4758300,-1.33,-2.04,4.98
4785348,-1.92,-0.98,8.28
4812380,-5.14,0.04,14.87
4839424,-6.00,-0.59,13.65
4867508,-4.82,-0.04,11.41
4895572,-3.69,0.00,10.36
4922628,-3.84,-0.04,10.40
4950692,-2.75,0.00,9.77
4976704,-1.73,-0.08,8.32
5003740,-1.88,-0.27,8.87
5030784,-2.43,-0.43,9.18
5057820,-2.63,-0.59,9.06
5084860,-2.98,-0.67,9.10
5111900,-2.67,-0.63,9.41
5138936,-3.10,-0.78,9.22
5165976,-3.30,-1.06,9.14
5193028,-4.39,-0.94,10.79
5221100,-7.92,0.63,22.05
5248140,-6.86,1.22,19.10
5275192,-5.65,-0.12,10.08
5303260,4.90,0.08,3.30
5328220,6.83,-2.31,-0.90
5355260,0.20,-4.59,-0.04
5382296,-1.57,-4.98,4.16
5409348,-2.39,-4.39,11.06
5437424,-2.86,-3.80,10.98
5465500,-1.45,-2.35,10.24
5493576,0.55,-2.47,7.02
5519588,0.43,-2.51,6.24
5545580,0.12,-2.86,7.22
5571580,-1.02,-3.26,7.96
5598624,-2.55,-3.26,8.79
5625660,-1.26,-2.55,7.65
5652708,0.63,-1.69,5.10
5678696,0.47,-1.41,3.45
5704696,-2.00,-0.75,6.47
5731736,-2.90,0.20,9.92
5757740,-5.57,2.16,14.75
5784792,-5.61,3.61,17.34
5811820,-4.79,3.14,15.34
5838864,-3.84,2.55,10.67
5865904,-3.61,2.35,9.73
5891900,-3.41,1.92,10.00
5918952,-2.51,1.73,10.04
5945980,-2.16,1.33,8.55
5971980,-1.65,1.26,7.96
5997984,-2.24,1.22,8.87
6023976,-2.79,1.18,9.14
6049980,-2.59,1.22,9.18
6075976,-2.90,1.06,9.02
6101980,-2.75,1.18,9.02
6127980,-3.14,1.45,10.16
6155020,-6.94,2.43,17.97
6182060,-8.00,4.71,25.42
6209100,-7.02,5.81,17.26
6236140,0.86,1.84,1.22
6261100,3.45,-0.86,0.47
6287096,2.75,-3.73,-2.71
6314136,0.12,-6.20,-2.59
6341184,-1.84,-5.33,7.65
6368228,-4.55,-4.98,11.57
6396304,-4.94,-4.28,11.14
6424384,-3.37,-2.82,10.47
6452460,-1.69,-1.69,10.04
6480536,0.00,-2.24,7.65
6506540,-0.82,-2.90,7.49
6533576,-2.63,-3.77,8.32
6560620,-3.22,-3.92,9.38
6587656,-3.06,-3.61,8.79
6614704,-1.77,-3.41,6.55
6641740,-0.47,-3.22,4.79
6668776,0.86,-3.22,-1.14
6695816,0.82,-2.12,-2.16
6722860,-5.81,1.02,4.20
6748864,-6.59,3.84,14.12
6775904,-4.75,6.12,25.34
6802936,-6.08,5.73,17.30
6829980,-5.22,3.88,12.04
6857024,-3.33,1.88,7.57
6883020,-3.26,1.33,7.81
6909024,-2.86,0.82,8.28
6935020,-2.59,0.43,7.57
6961024,-1.49,0.86,8.55
6987016,-3.26,1.06,9.49
7013032,-4.24,1.10,9.85
7039020,-3.10,1.06,8.67
7065020,-2.20,1.06,7.65
7091016,-2.47,0.86,9.89
7117028,-3.65,0.82,10.40
7144060,-3.73,2.35,16.00
7171100,-5.65,4.98,29.46
7198148,-10.16,7.53,24.91
7226224,-4.00,6.12,1.73
7252216,8.24,0.08,-8.16
7278224,1.41,-6.83,-5.65
7305260,-0.20,-8.51,-3.41
7333336,-2.51,-8.00,3.10
7360384,-4.12,-6.43,8.87
7387420,-4.67,-5.37,9.18
7414460,-3.49,-3.57,9.92
7441500,-2.47,-2.79,9.41
7468536,-1.26,-3.33,8.16
7495576,-1.41,-3.92,8.08
7522616,-2.47,-4.59,7.37
7549660,-3.41,-4.82,7.73
7576704,-3.80,-4.75,8.16
7603748,-3.65,-5.02,6.94
7630776,-2.63,-4.98,5.61
7657820,-1.80,-5.06,2.04
7684860,-0.31,-4.39,-1.92
7712940,-2.75,-0.63,-1.14
7741020,-2.67,3.10,21.69
7768060,-4.43,3.33,21.97
7795104,-4.04,4.24,16.83
7822140,-2.71,2.75,12.71
7849192,-1.88,1.80,10.04
7876220,-1.88,0.27,7.88
7902220,-2.08,-0.86,7.57
7929264,-2.16,-1.69,7.45
7956300,-2.28,-1.53,7.85
7983336,-3.06,-0.94,9.26
8010380,-3.61,-0.55,9.81
8037408,-2.67,0.00,9.96
8063412,-2.31,0.00,9.26
8089404,-2.12,0.00,8.16
8115416,-2.08,0.00,8.87
8141424,-2.39,0.04,10.75
